ID,Observation Title,Audit CheckList / Control,Parent Audit AreaName,Audit Area,SBU,Region,Brand,Level,Location Code,Location,Department,Reviewer,Lead Auditor,Support Auditor,Auditee,Sub Process,Repeat Observation,Observation Type,Risk,Category,Observation Details,Short Observation,Root Cause,Impact/Concerns/Implications,Financial Currency,Financial Implications,Target Completion Date,Observation Logged Date,ACM PageNo.,ACM PointNo.,ACM RefDate,Share With ED,Share With AC,Audit Report No.,Report Status,Observation Status,Last Updated On,Recommendation,Corrective Action Plan,Preventive Action Plan,Short Action Plan,Target Date,Revised Target Date,Revised Current Status,Follow-Up Frequency,Closure Date,Closure Reason,Age as on 03-Aug-2020,Age (as per Logged date),Age (as per Target date),Actual Audit Start date,Status,Other Auditee,Escalator 1,Escalator 2,Escalator 3,Auditee Report Release Date,Quarter,Financial Year,Action Plan Status,Auditee Current Status,Last Updated By,Audit Type,Root Cause Category,Attachments
881,Closing stock of cards not being verified from system report,Placeholder for Checklist,,Funcity Store Audit,Citymax Hotels (India) Pvt Ltd,,,,,North Country - Mohali,Corporate Business development,Rahul Teckchandani,Hitesh Dhamija,,Tarun Rangwani,Funcity Cards,Yes,Routine,Low,Cost Savings,"[Repeated Observation HY1-2018] During audit, it was observed that verification of closing stock of card in hand from ""system Stock on hand report"" was not done for the entire audit review period.",.,,.,Rs.,1 Lakh,31-Jul-19,16-Jul-20,0,,,No,No,2020 - 2021/1,Audit Report Issued,0%,16-Jul-20,Control parameter has to be strictly adhered to.,The implementation of new game system in still in process and happening at PAN India level. Though we have started documenting it manually in updated DSH so that the total physical inventory of game cards can be verified at any given point of time,The new system implementation is in process at Pan India level.,,31-Jul-19,31-Jul-19,,,,,13,1,13,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Hitesh Dhamija,Regular Review,,
880,Closing stock of cards not being verified from system report,Placeholder for Checklist,,Funcity Store Audit,Citymax Hotels (India) Pvt Ltd,,,,,Z Square - Kanpur,Corporate Business development,Rahul Teckchandani,Pranit Kumar,,Tarun Rangwani,Funcity Cards,Yes,Routine,Low,Cost Savings,"[Repeated Observation HY1-2018] During audit, it was observed that verification of closing stock of card in hand from ""system Stock on hand report"" was not done for the entire audit review period.",.,,.,Rs.,1 Lakh,31-Jul-19,16-Jul-20,0,,,No,No,2020 - 2021/7,Audit Report Issued,0%,16-Jul-20,Control parameter has to be strictly adhered to.,The implementation of new game system in still in process and happening at PAN India level. Though we have started documenting it manually in updated DSH so that the total physical inventory of game cards can be verified at any given point of time.,In the process with IT team for the implementation.,,31-Jul-19,31-Jul-19,,,,,13,1,13,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Pranit Kumar,Regular Review,,
879,Delay in GIT clearance - Funcity,Placeholder for Checklist,,Citymax Warehouse Audits,Citymax Hotels (India) Pvt Ltd,,,,,"Citymax - Warehouse, Bangalore",Corporate Business development,Rajesh Gopal,Souvik C,,Zillani Vidhani,Inventory Management & Asset Transfers,Yes,Routine,Low,Cost Savings,"[Repeated Observation- HY1 2018-19] For the period Oct'18 to Mar'19, the following STNs were pending for GIT as on 31st Mar'19. Details of pending GIT is provided in the table below. Snapshot of GIT pending to be received at stores for materials sent from WH is as follows :- Age Bucket STNs Qty (Lacs) Value (Amt Lac Rs.) 1 - 10 days 7 36.07 4.83 11 - 30 days 20 125.78 46.12 31 - 60 days 30 167.97 50.20 61 - 120 Days 56 296.72 94.94 121 - 181 Days 44 241.10 74.53 Grand Total 157 867.6 270.62 As confirmed by WH team, the pending GIT is due to different ERP's being used in WH and Funcity store respectively. Refer annexure for details.",157 STN were pending to be received at stores from WH as on 31 Mar 2019 was 867.6 Lacs Qty amounting to Rs. 270.62 Lacs on 31 Mar 2019.,,.,Rs.,1 Lakh,30-Sep-19,16-Jul-20,0,,,No,No,2020 - 2021/27,Audit Report Issued,0%,16-Jul-20,Control parameter should be strictly adhered to. GIT should be tracked closely at corporate office and WH level to clear the same within 7 days to the respective locations.  The issue of different ERP being used to be looked into and feasibility of bridging the two systems should be explored by the corporate inventory team in cor-ordination with IT team.,Currently most Funcity outlets don't have Brainpower software and they cannot access the same for GIT clearance. Currently all Funcity outlets we are in process of switch-over to a new software Semnox. the process should complete by august 19. We will be implementing the Semnox inventory software which will ensure an seamless transfer of data between the outlets and the warehouse.,This will done once new inventory software is in place,,30-Sep-19,30-Sep-19,,,,,11,1,11,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Souvik C,Regular Review,,
878,Assets not listed in the Fixed Assets Register,Placeholder for Checklist,,Citymax Warehouse Audits,Citymax Hotels (India) Pvt Ltd,,,,,"Citymax - Warehouse, Bangalore",Corporate Business development,Rajesh Gopal,Souvik C,,Tarun Rangwani,Inventory Management & Asset Transfers,Yes,Routine,Low,Cost Savings,[Repeated Observation- HY1 2018] During physical verification of 30 fixed assets on a sample basis in warehouse against the system report as on 25th Apr'19. Following is the summary of shortage or excess found during our phyical verification of assets on a sample basis :- Items Physical Qty FAR Qty Diff Qty Remarks Desktop 5 0 5 Excess Extra Monitor 1 0 1 Excess Extra Keyboard 1 0 1 Excess Ice Cream Machine 5 7 -2 Shortage Insect Killing Machine 2 7 -5 Shortage Refer annexure for details.,We observed 7 qty excess in IT assets and 7 qty shortage in plant/machinery assets during our sample verification of assets vs FAR.,,.,Rs.,1 Lakh,31-May-19,16-Jul-20,0,,,No,No,2020 - 2021/27,Audit Report Issued,0%,16-Jul-20,"FAR should be adjusted as per physical count of assets. Reasons should be shared for missing assets, if any. ",Physical verification of the fixed asset has been submitted to Finance. Once the updation is done and completed the assets will match. 2 ice cream machine that is found short is available in head office for refurbishment.,This will be complete once the FAR register is updated by Finance at Head office.,,31-May-19,31-May-19,,,,,15,1,15,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Souvik C,Regular Review,,
877,Employees working without company uniform,Placeholder for Checklist,,Splash New Store Audits,Splash Fashions India Pvt Ltd,,,,,VR Mall Mohali,Stock Control,Puneet Gupta,VAIBHAV JAIN,,Zillani Vidhani,H R Activities,No,Routine,Low,Cost Savings,"As per ranking parameter, all employees should be wearing the Company Uniform or ID Card must be issued within 1 month for the Date of Joining Total 19 employees joined at the stores during the audit review period, it was observed that 11 employees were found without wearing company uniform till the last date of Audit (i.e. 03-May-19). Details as mentioned below:- ID Name DOJ 1080031 Goldy 31-Oct-18 1080059 Pintu 31-Oct-18 1079501 Akhtar 17-Oct-18 1079815 Rajeev 25-Oct-18 1079450 Amandeep 17-Oct-18 1082212 Ghanshyam 21-Jan-19 1083349 Jagdish 13-Mar-19 1083333 Honey 12-Mar-19 1082495 Pooja 5-Feb-19 1079453 Suhavani 17-Oct-18",12 out of 19 employees were without uniform,,.,Rs.,1 Lakh,30-Jun-19,16-Jul-20,0,,,No,No,2020 - 2021/30,Audit Report Issued,0%,16-Jul-20,"Store Manager should follow up to ensure that all the employees should be in company uniform must be issued to all new joinees within defined timeline.,Regional HR to ensure that company uniform should be issued to all new joinees within the defined timeline.","Same is already escalated to the concern department. Follow up mail done. (Closed),Requested for uniform for the staff.","Same is already escalated to the concern department. Follow up mail done (Closed),Will be issued once received at North.",,30-Jun-19,30-Jun-19,,,,,14,1,14,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,VAIBHAV JAIN,Regular Review,,
876,Shop & Establishment Certificate not displayed at warehouse,Placeholder for Checklist,,Splash Warehouse Audit,Splash Fashions India Pvt Ltd,,,,,Splash Warehouse - Bilaspur,Stock Control,Rahul Teckchandani,Hitesh Dhamija,,Zillani Vidhani,STATUTORY COMPLIANCE,Yes,Routine,Low,Cost Savings,"[Repeated Observation HY1-2018] Shop & Establishment should be available and under validity period. However, during floor walk through done on 16th May 2019, it was found that Shop & Establishment Certificate was not displayed at warehouse for Splash entity at warehouse.",Shop & Establishment Certificate was not displayed at warehouse till the last date of audit.,,.,Rs.,1 Lakh,31-May-19,16-Jul-20,0,,,No,No,2020 - 2021/45,Audit Report Issued,0%,16-Jul-20,Control parameter has to be strictly adhered to.,"As per HR, as there are no employees of Splash working in the warehouse the same is not applicable. It has been sent to Corp team for clarification and revert is pending.",Will update once clarification received from Corp.,,31-May-19,31-May-19,,,,,15,1,15,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Hitesh Dhamija,Regular Review,,
875,Project assets laying at store from the date of store opening.,Placeholder for Checklist,,MAX NEW STORE AUDIT,Lifestyle International Pvt Ltd (Max Division),,,,,"MAX AP & TS -Sarath City mall, Hyderabad - 2134",Quality Control,LAKSHMIPATHI GALETI,LAKSHMIPATHI GALETI,,Tarun Rangwani,Other Observations,No,Routine,Low,Cost Savings,"During the audit we observed, 100 nos. of lights and 97 nos other project items (Fixutes, Glasses etc.) lying at store from the date of store opening in unused condition. For details refer attachement.",.,,.,Rs.,1 Lakh,31-Oct-19,16-Jul-20,0,,,No,No,2020 - 2021/54,Audit Report Issued,0%,16-Jul-20,Unused or extra fixed assets should be moved from Store to new store or any other required location..,"Excess fixture details sent to Projects / maintenance & awaiting revertal from Them,",ATF pending & will follow up,,31-Oct-19,31-Oct-19,,,,,10,1,10,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,LAKSHMIPATHI GALETI,Regular Review,,
874,Lifts and Escalator License not available,Placeholder for Checklist,,Focus Review,Lifestyle International Pvt Ltd,South,,,,LS Kar Regional Office,Consumer Care,Sidharth Kumar Nayak,Kiran Rao,,Abhishek Gupta,Annual Maintenance Contract - CAPEX,No,Routine,Low,Cost Savings,During verification of lifts and escalator statutory compliance for the 10 stores selected for audit it was observed that license was not available for 4 lifts and 4 escalators in LS Oasis (Bangalore) store. Please refer the below attached annexure for further details.,"Lifts and escalator license as per The Karnataka Lifts, Escalators and Passenger Conveyor Act 2012 are not available for 4 lifts and 4 escalators.",,"1. Shall be punishable with fine up to Rs. 10,000 or simple imprisonment up to 6 months or both. In case continuous contravention, further fine of Rs. 100 per day. 2. In case the defaulter is a company, the Key Managerial Personnel (KMP) may be punished i",Rs.,1 Lakh,31-Oct-19,16-Jul-20,0,,,No,No,2020 - 2021/59,Audit Report Issued,0%,16-Jul-20,Regional commercial to ensure that valid license copies for all lifts and escalators are obtained with the help of regional maintenance executive and displayed at store.,Point noted. Recommendation will be incorporated.,Point noted. Recommendation will be incorporated.,,31-Oct-19,31-Oct-19,,,,,10,1,10,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Kiran Rao,Regular Review,,
873,Karnataka LEP Rules 2015 Related Non-Compliance,Placeholder for Checklist,,Focus Review,Lifestyle International Pvt Ltd,South,,,,LS Kar Regional Office,Consumer Care,Sidharth Kumar Nayak,Kiran Rao,,Abhishek Gupta,Annual Maintenance Contract - CAPEX,No,Routine,Low,Cost Savings,"Registration of service providers (Oasis and PMC Blr): Registration of the AMC service providers (refer list below) with CHIEF ELECTRICAL INSPECTOR TO GOVT, DEPARTMENT OF ELECTRICAL INSPECTORATE. (FORM-D2) was not provided to us for verification and hence, we are unable to express our opinion as to the same is available or not. LS Oasis, Bangalore – 1) Kone Elevator (Lift) India Pvt Ltd, 2) Puma Lifts and 3) OTIS Elevator Pvt Ltd LS PMC, Bangalore – 1) Hephzi Elevators International Company Private Limited and 2) Johnson Lifts Pvt. Ltd. Mandatory Lift Operator for capacity above 6 persons: As per Karnataka LEP rules,2015 any lift with carrying capacity above 6 persons should be manned by an operator. It is observed that 2 customer lifts at LS Oasis store have standard carrying capacity for 20 people, however it is not manned by any operator which is a state LEP rules non-compliance. Specific Log Book Format for Lifts and Escalator service and annual testing and maintenance report(Oasis and PMC Blr): During verification on 13th June'19, it was observed that the store is not maintaining the Maintenance Log book in the format prescribed in Karnataka LEP Rules, 2015 for lift and escalator servicing. However, a general log book with minimal service description is maintained which doesn't comply with Karnataka LEP Rules, 2015. Further, annual testing and maintenance report in Form-C2 or Form-C3 from the registered person was not available.","Required statutory documents like log books, Form C2 or C3,registration of vendor with CEI to Govt (form D2) not maintained / available as per rules",,"1. Shall be punishable with fine up to Rs. 10,000 or simple imprisonment up to 6 months or both. In case continuous contravention, further fine of Rs. 100 per day. 2. In case the defaulter is a company, the Key Managerial Personnel (KMP) may be punished i",Rs.,1 Lakh,31-Oct-19,16-Jul-20,0,,,No,No,2020 - 2021/59,Audit Report Issued,0%,16-Jul-20,"Regional commercial to ensure that compliance to lifts and escalator maintenance log books, Form C2 or C3, mandatory lift operator and registration status of maintenance vendor for all lifts and escalators operating at the store are put in place with the support of regional maintenance executive.",Point noted. Recommendation will be incorporated.,Point noted. Recommendation will be incorporated.,,31-Oct-19,31-Oct-19,,,,,10,1,10,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Kiran Rao,Regular Review,,
872,Loss of sale opportunity due to brand staff absenteeism,Placeholder for Checklist,,Focus Review,Lifestyle International Pvt Ltd,South,,,,LS Kar Regional Office,Consumer Care,Sidharth Kumar Nayak,Kiran Rao,,Abhishek Gupta,Brand Staff - KPIs Monitoring,No,Routine,Low,Cost Savings,"On review of the correlation between the average daily sales vis-a-vis attendance for a sample of 10 brands in 5 Lifestyle stores for 2 months during Jan to Apr 2019, following observations were noted: Potential loss of sales opportunity (annualized) due to brand staff absenteeism (less than budgeted staff provided) was Rs. 82.52 lakhs (loss of margin 20.87 lakhs) Relievers not provided during week offs and leaves (1 to 3 days) Agreement is silent about providing relievers during week offs and leaves Please refer the below attached annexure for details",Potential loss of sales opportunity due to brand staff absenteeism to the extent to Rs. 82.52 lakhs (annualised) for 10 brands observed.,,Possible financial loss and poor customer experience due to brand staff absenteeism.,Rs.,1 Lakh,15-Oct-19,16-Jul-20,0,,,No,No,2020 - 2021/59,Audit Report Issued,0%,16-Jul-20,"Strengthen controls around brand staff attendance monitoring and ensure that relievers are provided by Brand. Implement a policy and procedure for define brand staff on-boarding, change, relivers, termination and training (like Max)","Bio-metric attendance for brand staff implemented w.e.f Apr'19. Attendance reports are being shared with brands. Store-wise norms for brand staff & relievers is being re-visited and agreed with brands. With attendance system getting stabilized, we are insisting brands to ensure attendance. Next step is to agree with brands on debit mechanism for loss of sale.",Brand staff attendance through bio-metric has been implemented. Agree with brands on debit mechanism for loss of sale.,,15-Oct-19,15-Oct-19,,,,,10,1,10,,Open,,,,,30-Jul-20,Q2,2020 - 2021,0,0%,Kiran Rao,Regular Review,,
